exp_name,wrong_prior,wrong_query
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,0
cancer,0,1
cancer,0,0
cancer,0,1
cancer,0,0
asia,0,0
asia,4,19
asia,0,0
asia,1,3
asia,4,12
asia,4,18
asia,1,4
asia,0,0
asia,0,0
asia,0,0
asia,0,0
asia,0,0
child,1,3
child,1,3
child,2,5
child,3,10
child,1,1
child,1,3
child,1,3
child,1,6
child,0,0
child,2,5
child,1,4
child,2,5
insurance,3,15
insurance,1,11
insurance,1,10
insurance,3,22
insurance,0,12
insurance,1,19
insurance,3,30
insurance,3,27
insurance,1,17
insurance,3,30
insurance,3,22
insurance,3,22
alarm,2,15
alarm,4,20
alarm,2,15
alarm,2,12
alarm,2,21
alarm,3,16
alarm,1,8
alarm,2,11
alarm,1,10
alarm,0,12
alarm,2,15
alarm,1,11
mildew,1,19
mildew,1,11
mildew,1,17
mildew,2,14
mildew,2,14
mildew,1,16
mildew,3,18
mildew,3,18
mildew,4,21
mildew,2,15
mildew,4,26
mildew,4,19
water,0,16
water,0,4
water,0,6
water,2,19
water,2,10
water,0,9
water,2,7
water,1,6
water,0,4
water,0,16
water,0,11
water,0,21
barley,1,14
barley,2,14
barley,2,19
barley,2,17
barley,0,9
barley,2,24
barley,1,19
barley,0,11
barley,1,11
barley,1,27
barley,1,12
barley,1,13
